id,name,shortName,industry,industryLabel,icon,tagline,description,headquarters,factory,phone,email,careersUrl,careersLabel,roles,chemDivisions,labFacilities,featured,students
sandactive,Sands Active (Pvt) Ltd,Sands Active,pharma,Pharmaceutical,💊,Producing high-quality medicines for therapeutic areas,"A pharmaceutical manufacturing company in Sri Lanka established in 2018. It is a subsidiary of the Melwa Group, focusing on producing high-quality medicines for both local and international markets with Good Manufacturing Practices (GMP).","51, Pathum Piyasa Road, Ekala 11380, Ja-Ela, Western Province, Sri Lanka.",,+94 11 224 7996 / +94 11 224 7998,pharma@melwire.com,https://sandsactive.lk/,Visit Sands Active Careers,QC Analyst;QA Executive;Production Officer;Analytical Chemist;R&D Chemist,,Analytical Development Laboratory;Microbiology Laboratory;HPLC;UV-Visible Spectrophotometer;Stability chambers;Dissolution testing apparatus,FALSE,2019/SB/18;2019/SB/104
renuka,Renuka Agri Organics Limited,Renuka Agri,food,Food & Beverage,🍽️,Organic and coconut-based food processing and export,"A Sri Lankan agro-processing and export company under Renuka Holdings PLC. It specializes in organic agricultural processing, food manufacturing, and export of value-added coconut products to international markets.","No. 69, Sri Jinaratana Road, Colombo 02, Sri Lanka.","Wathupitiwala Export Processing Zone (EPZ), Nittambuwa, Sri Lanka.",+94 11 231 4750,organicfoods@renukagroup.com,https://www.linkedin.com/jobs/search/?keywords=Renuka%20Agri%20Foods,Visit Renuka Careers,QC Chemist;Food Chemist;Laboratory Executive;R&D Chemist,,GC;Soxhlet Extraction Unit;Kjeldahl Digestion & Distillation Unit;Microbiology Laboratory;Food chemistry testing laboratory;Autoclave;Incubator,FALSE,2020/SB/053
kotmale,Kotmale Dairy Products (Pvt) Ltd,Kotmale,food,Food & Beverage,🥛,"Processing, production, and packaging of dairy products","A major Sri Lankan dairy product manufacturer involved in processing fresh milk into value-added items such as pasteurized milk, yoghurt, cheese, and butter. It is part of Cargills Quality Dairies.","Kalapitiya – Bogahawatta Road, Sri Lanka.",,+94 117 496 401,N/A,http://www.cargillsceylon.com/,Visit Kotmale Careers,Quality Assurance Executive;Food Technologist;QC Analyst,,Spectrophotometers;Chromatography;pH Meters;Refractometers;Microbiology Lab Areas,FALSE,2021/SB062
haycarb,Haycarb PLC,Haycarb,polymer,Polymer & Rubber,🏭,Global leader in coconut shell-based activated carbon,"A Sri Lankan company manufacturing coconut shell-based activated carbon for water purification, air purification, gold recovery, and more. A subsidiary of Hayleys PLC and one of the global leaders in activated carbon production.","No. 400, Deans Road, Colombo 10, Sri Lanka.",,+94 11 262 7000,inquiries@haycarb.com,https://www.haycarb.com/life-at-haycarb/,Visit Haycarb Careers,Quality Control Chemist;Laboratory Analyst;R&D Chemist;Process Chemist;Environmental Chemist,,BET Surface Area Analyzer;Particle size analyzers;Adsorption testing systems;GC;Spectrophotometer;TOC analyzers,FALSE,2020/SB075;2020/SP/212
nwsdb,National Water Supply and Drainage Board (NWSDB),NWSDB,research,Research Institute,🔬,Provision of safe drinking water and wastewater management,"A government statutory board in Sri Lanka responsible for safe drinking water, water distribution, sanitation services, and wastewater management across urban and rural areas.","Galle Road, Ratmalana, Sri Lanka.",,+94 11 2638999,support@waterboard.lk,https://www.waterboard.lk/job-opportunities/,Visit NWSDB Careers,Laboratory Analyst;Water Quality Analyst;Environmental Chemist,,Spectrophotometers;pH and conductivity meters;Turbidity meters;Chemical Testing Labs;Microbiology Labs,FALSE,
earc,Export Agriculture Research Centre (EARC),EARC,research,Research Institute,🔬,Multidisciplinary scientific research on export agricultural crops,"The main research station of Sri Lanka’s Department of Export Agriculture. It conducts multidisciplinary scientific research to improve production, productivity, and quality of export agricultural crops.","Thibbatumulla, Matale 21000, Central Province, Sri Lanka.",,+94 66 222 2822,ears_matale@dea.gov.lk,https://www.dea.gov.lk/,Visit EARC Careers,Research Scientist;Agronomist;Plant Pathologist;Soil Scientist;Analytical Chemist,,Microscopy;Soil analysis facilities;Postharvest Chemical component analysis,FALSE,2020/SP/175
bureau_veritas,Bureau Veritas Consumer Product Services,Bureau Veritas,analytical,Analytical Testing Labs,🧪,"Global leader in testing, inspection, and certification","The Consumer Products Services division of this multinational company focuses on quality assurance and safety testing of consumer goods, ensuring products meet international safety, environmental, and quality standards.","No. 270, Dehiwala Road, Bellanwila, Sri Lanka.",,+94 11 235 0111,lk.info@bureauveritas.com,https://careers.bureauveritas.com,Visit Bureau Veritas Careers,Laboratory Analyst;Chemical Testing Technician;QC Chemist;Environmental Chemist;Cosmetics Analyst,,GC;HPLC;Atomic Absorption Spectrometer (AAS);FTIR Spectrometer;Chemical Testing Laboratory;Environmental Testing,FALSE,2020/SB/090;2021/SB/065
avato,AVATO Laboratory (Pvt) Ltd,AVATO Lab,analytical,Analytical Testing Labs,🧪,Environmental and water testing laboratory,"A fully owned subsidiary of Watercare Technologies (Pvt) Ltd, this ISO certified and CEA registered laboratory performs chemical and microbiological testing of water and wastewater for environmental monitoring and quality control.","No. 77, UDA Industrial Estate, Katuwana, Homagama 10200, Sri Lanka.",,+94 11 2895350,microlab@avato.lk,http://www.wct.lk,Visit AVATO Careers,Assistant Chemist;Water Sample Analyst;Laboratory Technician,,UV–Visible Spectrophotometer;BOD Incubator;COD Reactor;Atomic Absorption Spectrophotometer (AAS);Autoclave,FALSE,2020/SB/097
sgs,SGS Lanka (Pvt) Ltd,SGS Lanka,analytical,Analytical Testing Labs,🧪,"Testing, inspection, verification, and certification services","The Sri Lankan subsidiary of SGS SA, a global TIC company. It supports food, environmental, consumer products, and pharmaceutical industries to ensure safety, regulatory compliance, and international standards.","3rd Floor, AEC Building, 140 Vauxhall Street, Colombo 02, Sri Lanka.","141/7C Vauxhall Street, Colombo 02, Sri Lanka.",+94 11 537 6280,lk.info@sgs.com,https://jobs.sgs.com,Visit SGS Careers,Laboratory Analyst;Chemical Testing Technician;QC Chemist;Environmental Analyst,,GC;HPLC;ICP-OES / ICP-MS;AAS;UV-Visible Spectrophotometer;Fume hoods;Microbiology Laboratory,FALSE,2021/SB/008;2021/SP/210
cpstl,Ceylon Petroleum Storage Terminals Limited (CPSTL),CPSTL,analytical,Analytical Testing Labs,🧪,"Bulk petroleum storage, handling, and distribution",A government-owned company managing the petroleum storage terminals and fuel distribution network in Sri Lanka. It operates quality-control laboratories to test petroleum products before distribution.,"Oil Installation, Kolonnawa, Wellampitiya, Sri Lanka.",,+94 11 2572307,secretariat@cpstl.lk,https://www.cpstl.lk/,Visit CPSTL Careers,Senior Chemist;Laboratory Analyst;Quality Control Officer,,Gas Chromatography (GC);Distillation apparatus;Density meters;Octane rating analyzers;Sulfur analyzer;Flash point testers,FALSE,2021/SB/008;2021/SP/210
slsi,Sri Lanka Standards Institution (SLSI),SLSI,analytical,Analytical Testing Labs,🧪,National standards body of Sri Lanka,"A statutory government institution established to develop, maintain, and promote national standards (SLS) across products and services. SLSI conducts conformity assessment, inspection, certification, and analytical testing.","No. 17, Victoria Place, Elvitigala Mawatha, Colombo 08, Sri Lanka.",,+94 11 2019600,info@slsi.lk,https://slsi.lk/en/careers/,Visit SLSI Careers,Standards Officer;Quality Assessor;Analytical Chemist;Lab Technician,,ICP-MS;Arc/Spark Emission Spectrophotometer;Direct Mercury Analyzer;GC-FID;GC-MS/MS with Headspace System,FALSE,2021/SB/129;2021/SB/114
jrdc,China-Sri Lanka Joint Research and Demonstration Centre for Water Technology (JRDC),JRDC,analytical,Analytical Testing Labs,🧪,Advanced water treatment technologies and research,"Founded through cooperation between the Chinese Academy of Sciences, University of Peradeniya, and the Sri Lankan Government. It focuses on water-related health issues, advanced treatment tech, and improving safe water supply.","Meewathura Road, Peradeniya, Kandy District, Central Province, Sri Lanka.",,+94 81 205 8116,info@jrdc.lk,https://jrdc.lk/,Visit JRDC Careers,Water Quality Researcher;Analytical Chemist;Environmental Scientist,,"Gas Chromatography (GC);UV-Vis Spectrophotometers;Ion/elemental analyzers (AAS, ICP);HPLC;Water quality analyzers",FALSE,2020/SB/058;2021/SB/132
morison,Morison Limited,Morison,pharma,Pharmaceutical,💊,Making premium healthcare affordable,"A leading pharmaceutical manufacturer in Sri Lanka with over 60 years of legacy, producing high-quality prescription and OTC medicines under WHO and EU GMP standards.","75, Hemas House, Braybrooke Place, Colombo 02, Sri Lanka.","Lot No. 11, SLINTEC Park, Homagama, Sri Lanka.",+94 11 290 4222,info@morison.lk,mailto:careers@morison.lk,Email Careers,Pharmaceutical Chemist;Microbiology Analyst;R&D Executive,,Chemical Analysis Lab;Microbiology Lab;HPLC;UV/Vis Spectrometers,FALSE,
cic,CIC Holdings PLC,CIC Holdings,chemical,Chemical & Pharmaceutical,⚗️,Leading diversified conglomerate in Sri Lanka,"Originally Chemical Industries (Colombo) Limited, CIC is a diversified conglomerate with operations in agriculture, livestock, pharmaceuticals, and industrial chemicals.","CIC House, 199, Kew Road, Colombo 02, Sri Lanka.",Multiple Locations,+94 11 2359359,info@cic.lk,https://www.cic.lk/careerspage/,Visit CIC Careers,Quality Assurance Chemist;Analytical Chemist;Lab QA/QC Officer,,"Soil, Plant & Water Analytical Lab;Seed Testing Lab;Microbiology & Chemistry QA Labs",FALSE,
kelun,Kelun Lifesciences (Pvt) Ltd,Kelun,pharma,Pharmaceutical,💊,Sri Lanka's largest sterile liquid injectables producer,"A research-driven pharmaceutical manufacturer and Sri Lanka's largest sterile liquid infusions and injectables producer, operating under WHO-GMP and ISO standards.","Industrial Park – BOI Zone, Pallekele, Kandy, Sri Lanka.","Pallekele, Kandy, Sri Lanka.",+94 812 400 002 / +94 112 421 837,info@kelun.lk,https://www.kelun.lk/jobs/,Visit Kelun Careers,QA/QC Analyst;Microbiologist;Sterile Processing Tech,,pH & Conductivity Meters;High-Precision Balances;Particulate Counters;Sterility Incubators;Endotoxin Testing (LAL),FALSE,2020/SB/013
celogen,Celogen Lanka (Pvt) Ltd,Celogen Lanka,pharma,Pharmaceutical,💊,"Producing high-quality, affordable medicines","A leading pharmaceutical manufacturer in Sri Lanka with a modern EU-GMP and WHO-GMP approved facility, producing tablets, capsules, and other dosage forms.","116, Layards Broadway, Colombo 14, Sri Lanka.","Lot No. 7A, BOI Industrial Park, Pallekele, Kandy, Sri Lanka.",+94 112 421 836 / +94 812 424 821,info@celogen.lk,http://celogen.lk/,Visit Celogen Careers,QA/QC Executive;Analytical Chemist;Formulation Scientist,,HPLC;ICP;UV-Vis Spectrometer;Gas Chromatography (GC);FTIR;Stability Chambers,FALSE,
bamber_bruce,Bamber & Bruce (Pvt) Ltd,Bamber & Bruce,analytical,Analytical Testing Lab,🧪,Sri Lanka's oldest private analytical laboratory,"Established in 1880, Bamber & Bruce is an accredited analytical testing laboratory offering high-quality chemical and microbiological analysis for trade, industry, and exporters.","95 Piyadasa Sirisena Mawatha, Colombo 10, Sri Lanka.",,+94 11 251 4254,info@bamberbruce.lk,https://www.bamber-bruce.lk/,Visit Bamber & Bruce,Analytical Chemist;Microbiologist;Laboratory Analyst,,Spectrophotometers (UV-Vis);Atomic Absorption / ICP;GC;HPLC;TOC analyzers,FALSE,
global_scientific,Global Scientific Laboratories (Pvt) Ltd,Global Scientific,analytical,Analytical Testing Lab,🧪,Scientific solutions and analytical testing,"An analytical laboratory providing chemical and microbiological testing services, particularly for water and wastewater, along with technical consulting and water treatment solutions.","No. 206, Madapatha, Piliyandala, Sri Lanka.",,+94 11 2707940 / +94 71 6849476,info@globalscientific.lk,https://www.globalscientific.lk/,Visit Global Scientific,Junior Chemist;Water Quality Analyst;Microbiologist,,Water Quality Analyzers;Spectrophotometers;Microbiology Testing Setups,FALSE,
anala,Anala Laboratory Services (Pvt) Ltd,Anala Lab,analytical,Analytical Testing Lab,🧪,Comprehensive testing and analysis services,"A testing analysis company providing chemical, physical, and microbiological testing for water, beverages, soil, fertilizers, and food products.","85 Elhena Road, Maharagama 10280, Sri Lanka.",Dodangoda / Pannipitiya Branches,+94 11 486 6258,anala.laboratory@gmail.com,https://analalaboratory.com/,Visit Anala Lab,Laboratory Chemist;Lab Technician;Microbiologist,,Spectrophotometers;Conductivity Meters;Chemical Extraction Systems;Autoclaves,FALSE,
elcs,Environmental Laboratory & Consultancy Services (ELCS),ELCS,analytical,Environmental Testing Lab,🧪,Accredited environmental testing and consultancy,"An accredited environmental testing and consultancy firm providing scientific analysis for water, wastewater, soil, air emissions, and environmental impact assessments.","889 1/3, Maradana Road, Punchi Borella, Colombo 10, Sri Lanka.",,+94 11 268 4242 / +94 71 640 0365,manager.elcs@gmail.com,https://www.labenvi.com/,Visit ELCS,Environmental Analyst;Chemist;Environmental Consultant,,Spectrophotometers;AAS / ICP for trace metals;Gas Analyzers;Chemical Fume Hoods,FALSE,
perlo,Perlo Laboratory,Perlo Lab,analytical,Analytical Testing Lab,🧪,Water quality testing and analytical services,"Part of the Enviroequip Group, providing physical, chemical, and biological water quality testing for drinking water, wastewater, and boiler water.","No. 135/10, Kalyani Mawatha, Kelanimulla, Angoda, Sri Lanka.",,+94 76 442 0164 / +94 11 241 7605,labtest@perlohk.com,https://www.perlohk.com/laboratory/,Visit Perlo Careers,Laboratory Chemist;Water Analyst;Microbiologist,,"Portable Meters (EC, ORP, pH);Titration Setups;BOD/COD Analyzers;Jar Testing Kits",FALSE,
nwsdb_jaffna,National Water Supply & Drainage Board - Jaffna,NWSDB Jaffna,research,Research Institute,🔬,Safe drinking water and sanitation services for the North,"A government statutory board in Sri Lanka responsible for safe drinking water, water distribution, sanitation services, and wastewater management across urban and rural areas in the Jaffna region.","Regional office Sivan Pannai Road, Jaffna, Sri Lanka",,"021-2227268, 021-2217094, 021-2228962, 021-2227965",rmjaffna@yahoo.com,https://www.waterboard.lk/job-opportunities/,Visit Job Opportunities,Laboratory Analyst;Water Quality Analyst;Environmental Chemist,Chemistry Testing Lab;Microbiology Lab;Water Quality Control,Spectrophotometers;pH and conductivity meters;Turbidity meter;Chemistry Testing Lab;Microbiology Lab,FALSE,2019/SB/124;2019/SB/101;2020/SB/73;2020/SB/52;2021/SB/004;2021/SB/035
nwsdb_kandy,National Water Supply & Drainage Board - Kandy,NWSDB Kandy,research,Research Institute,🔬,Regional Support Center for the Central Province,"A government statutory board responsible for safe drinking water, water distribution, sanitation services, and wastewater management across urban and rural areas. This Regional Support Center (Central) serves the Kandy district and surrounding areas.","Regional Support Center (Central), Dangolla Road, Gatambe, Peradeniya (near Kandy), Sri Lanka",,"081-2388086, 081-2385962, 081-2387149, 081-2388027","dgmcentral2018@gmail.com, adgmcnwsab@waterboard.lk",https://www.waterboard.lk/job-opportunities/,Visit Job Opportunities,Laboratory Analyst;Water Quality Analyst;Environmental Chemist,Chemistry Testing Lab;Microbiology Lab;Central Support Services,Spectrophotometers;pH and conductivity meters;Turbidity meter;Chemistry Testing Lab;Microbiology Lab,FALSE,2019/SB/027;2019/SP/226;2020/SB/061;2021/SB/052;2021/SB/106
nwsdb_welimada,National Water Supply & Drainage Board - Welimada,NWSDB Welimada,research,Research Institute,🔬,Water distribution and sanitation for the Welimada region,"A government statutory board in Sri Lanka responsible for safe drinking water, water distribution, sanitation services, and wastewater management. This OIC Office serves the Welimada area under the Uva Regional Support Center.","OIC Office, Wellawatta, Welimada, Sri Lanka",,057-2244118,support@waterboard.lk,https://www.waterboard.lk/job-opportunities/,Visit Job Opportunities,Laboratory Analyst;Water Quality Analyst;Environmental Chemist,Chemistry Testing Lab;Microbiology Lab;Regional Maintenance,Spectrophotometers;pH and conductivity meters;Turbidity meter;Chemistry Testing Lab;Microbiology Lab,FALSE,2019/SB/082;2019/SB/085;2019/SB/108;2019/SB/120;2020/SB/88;2021/SB/021
